Entité;Jo;Match;Date;Heure;EQA_no;EQA_nom;EQB_no;EQB_nom;Set;Score;Total;Salle;Arb1;Arb2;
LILR;01;7M1003;2017-10-15;10:00;0319125;SPORTING CLUB PLAISANCE TOUCH;0817326;CASTRES MASSAGUEL VOLLEY BALL CLUB; 1/3;20-25,25-15,19-25,22-25;86-90;RIVIÈRE;;;;
LILR;02;7M1004;2017-11-19;10:00;0826762;MONTAUBAN VOLLEY-BALL 82;0319125;SPORTING CLUB PLAISANCE TOUCH; 1/3;25-21,18-25,11-25,21-25;75-96;OLYMPE DE GOUGES;;;;
LILR;03;7M1009;2017-11-26;10:00;0314739;T.O.A.C. - T.U.C. VOLLEY-BALL;0319125;SPORTING CLUB PLAISANCE TOUCH; 0/3;7-25,16-25,12-25;35-75;GYMNASE JEAN-FRANÇOIS PUIG;;;;
LILR;04;7M1011;2017-12-03;14:00;0310022;AVENIR FONSORBAIS VOLLEY-BALL;0319125;SPORTING CLUB PLAISANCE TOUCH; 3/0;25-16,25-14,25-22;75-52;COMPLEXE SPORTIF DE BELESTA;;;;
LILR;05;7M1014;2017-12-17;10:00;0319125;SPORTING CLUB PLAISANCE TOUCH;0819413;VOLLEY CLUB BASTIDIEN; 1/3;27-29,10-25,27-25,20-25;84-104;RIVIÈRE;;;;
LILR;06;7M1018;2018-01-14;10:00;0817326;CASTRES MASSAGUEL VOLLEY BALL CLUB;0319125;SPORTING CLUB PLAISANCE TOUCH; 3/2;22-25,29-31,25-17,25-21,15-13;116-107;TRAVET;;;;
LILR;07;7M1019;2018-01-21;10:00;0319125;SPORTING CLUB PLAISANCE TOUCH;0826762;MONTAUBAN VOLLEY-BALL 82; 3/0;25-23,25-23,25-22;75-68;RIVIÈRE;;;;
LILR;08;7M1024;2018-02-04;10:00;0319125;SPORTING CLUB PLAISANCE TOUCH;0314739;T.O.A.C. - T.U.C. VOLLEY-BALL; 3/0;25-11,25-10,25-10;75-31;RIVIÈRE;;;;
LILR;09;7M1026;2018-03-18;10:00;0319125;SPORTING CLUB PLAISANCE TOUCH;0310022;AVENIR FONSORBAIS VOLLEY-BALL; 3/2;18-25,21-25,25-22,25-22,16-14;105-108;RIVIÈRE;;;;
LILR;10;7M1029;2018-03-24;13:00;0819413;VOLLEY CLUB BASTIDIEN;0319125;SPORTING CLUB PLAISANCE TOUCH; 1/3;16-25,25-15,22-25,24-26;87-91;MUNICIPALE;;;;
